N:5015449011 M:103357 total_time:28
1	1	1	0.608161	0.391839
2	2	1.39184	5.7612e-06	0.391833
3	3	1.78367	5.51476e-06	0.391827
4	4	2.1755	0.00797805	0.383849
5	5	2.55935	0.000999037	0.38285
6	6	2.9422	0.0917171	0.291133
7	7	3.23333	2.18425e-06	0.291131
8	8	3.52446	1.76036e-06	0.291129
9	9	3.81559	0.0867347	0.204394
10	10	4.01999	0.0986954	0.105699
11	11	4.12568	5.78812e-07	0.105698
12	12	4.23138	4.85101e-07	0.105698
13	13	4.33708	1.73863e-07	0.105698
14	14	4.44278	2.75947e-07	0.105698
15	15	4.54848	3.08846e-07	0.105697
16	16	4.65417	3.28984e-07	0.105697
17	17	4.75987	1.24097e-06	0.105696
18	18	4.86557	4.81911e-07	0.105695
19	19	4.97126	9.71598e-07	0.105694
20	20	5.07696	1.31593e-07	0.105694
21	21	5.18265	9.59037e-08	0.105694
22	22	5.28834	2.23709e-07	0.105694
23	23	5.39404	8.89252e-07	0.105693
24	24	5.49973	1.13449e-07	0.105693
25	25	5.60542	1.02124e-06	0.105692
26	26	5.71111	4.22694e-08	0.105692
27	27	5.81681	2.20319e-07	0.105691
28	28	5.9225	2.61193e-08	0.105691
29	29	6.02819	9.46476e-07	0.10569
30	30	6.13388	3.09045e-08	0.10569
31	31	6.23957	4.82509e-08	0.10569
32	32	6.34526	7.03825e-08	0.10569
33	33	6.45095	2.05365e-07	0.10569
34	34	6.55664	4.84503e-08	0.10569
35	35	6.66233	3.82817e-08	0.10569
36	36	6.76802	2.63187e-08	0.10569
37	37	6.87371	4.12725e-08	0.10569
38	38	6.9794	1.79446e-08	0.10569
39	39	7.08509	9.30325e-07	0.105689
40	40	7.19078	1.4555e-08	0.105689
41	41	7.29647	2.69168e-08	0.105689
42	42	7.40216	5.22386e-08	0.105689
43	43	7.50785	4.14719e-08	0.105689
44	44	7.61354	4.56589e-08	0.105689
45	45	7.71922	2.45641e-07	0.105689
46	46	7.82491	9.51061e-08	0.105689
47	47	7.9306	2.68969e-07	0.105688
48	48	8.03629	1.63295e-07	0.105688
49	49	8.14198	1.18215e-06	0.105687
50	50	8.24766	8.81277e-08	0.105687
51	51	8.35335	1.04278e-07	0.105687
52	52	8.45904	1.46747e-07	0.105687
53	53	8.56472	2.40656e-07	0.105686
54	54	8.67041	5.94164e-08	0.105686
55	55	8.7761	5.38337e-08	0.105686
56	56	8.88178	1.21026e-07	0.105686
57	57	8.98747	3.34965e-08	0.105686
58	58	9.09316	2.7515e-08	0.105686
59	59	9.19884	9.28332e-07	0.105685
60	60	9.30453	1.63495e-08	0.105685
61	61	9.41021	2.79138e-08	0.105685
62	62	9.5159	1.20827e-07	0.105685
63	63	9.62158	2.79138e-08	0.105685
64	64	9.72727	1.67483e-08	0.105685
